payment_id,payment_date,afm,declaration_id,amount_eur,payment_method,channel,status,region
PAY-2025-000001,2025-11-24,100444444,13,11136.18,Debit Card,Branch,Confirmed,Κεντρική Μακεδονία
PAY-2025-000002,2025-10-07,100333333,217,525.15,Web Banking,Branch,Confirmed,Αττική
PAY-2025-000003,2025-10-15,100777777,280,6321.82,ΔΟΥ Ταμείο,Mobile App,Confirmed,Θεσσαλία
PAY-2025-000004,2025-08-05,101222222,143,2374.42,Credit Card,Online,Confirmed,Δυτική Ελλάδα
PAY-2025-000005,2025-02-19,,177,9075.7,Web Banking,Phone,Failed,Κεντρική Μακεδονία
PAY-2025-000006,2025-07-13,100333333,283,4433.02,e-ΕΦΚΑ,Mobile App,Failed,Κρήτη
PAY-2025-000007,2025-02-05,100222222,117,11607.37,Web Banking,Branch,Confirmed,Δυτική Ελλάδα
PAY-2025-000008,2025-05-23,101666666,187,2481.68,Credit Card,Branch,Failed,Ιόνια Νησιά
PAY-2025-000009,2025-02-06,102222222,88,8035.39,Debit Card,Branch,Pending,Δυτική Ελλάδα
PAY-2025-000010,2025-05-19,101999999,113,10284.98,Web Banking,Branch,Confirmed,Πελοπόννησος
PAY-2025-000011,2025-07-25,100999999,34,3204.19,e-ΕΦΚΑ,Mobile App,Confirmed,Ήπειρος
PAY-2025-000012,2025-07-22,101666666,74,4009.96,Debit Card,Mobile App,Failed,Δυτική Ελλάδα
PAY-2025-000013,2025-10-26,101444444,186,3328.85,Debit Card,Phone,Confirmed,Αττική
PAY-2025-000014,2025-02-26,100555555,82,11891.59,ΔΟΥ Ταμείο,Online,Pending,Δυτική Ελλάδα
PAY-2025-000015,2025-11-02,101666666,271,3808.64,e-ΕΦΚΑ,Online,Failed,Κεντρική Μακεδονία
PAY-2025-000016,2025-10-02,100999999,175,1717.7,ΔΟΥ Ταμείο,Branch,Pending,Αττική
PAY-2025-000017,2025-05-15,101888888,92,7639.84,Web Banking,Mobile App,Failed,Κρήτη
PAY-2025-000018,2025-03-20,101333333,83,8113.72,e-ΕΦΚΑ,Online,Failed,Πελοπόννησος
PAY-2025-000019,2025-09-08,100111111,58,13940.02,Credit Card,Branch,Confirmed,Κρήτη
PAY-2025-000020,2025-10-18,100333333,44,10992.02,Web Banking,Branch,Confirmed,Ήπειρος
PAY-2025-000021,2025-10-09,100666666,136,7938.72,e-ΕΦΚΑ,Phone,Confirmed,Κρήτη
PAY-2025-000022,2025-06-09,101444444,192,6599.6,e-ΕΦΚΑ,Phone,Confirmed,Κρήτη
PAY-2025-000023,2025-04-26,100333333,174,364.46,e-ΕΦΚΑ,Branch,Failed,Κρήτη
PAY-2025-000024,2025-01-04,100333333,31,3472.68,Web Banking,Mobile App,Confirmed,Κρήτη
PAY-2025-000025,2025-05-23,101777777,110,8111.55,e-ΕΦΚΑ,Phone,Confirmed,Ήπειρος
PAY-2025-000026,2025-07-28,100777777,49,1499.12,ΔΟΥ Ταμείο,Mobile App,Pending,Δυτική Ελλάδα
PAY-2025-000027,2025-08-28,100222222,51,956.16,Credit Card,Online,Confirmed,Κρήτη
PAY-2025-000028,2025-04-08,101999999,230,2145.73,Debit Card,Mobile App,Pending,Κρήτη
PAY-2025-000029,2025-02-08,,282,1513.74,e-ΕΦΚΑ,Online,Confirmed,Κρήτη
PAY-2025-000030,2025-03-27,101555555,249,7246.31,ΔΟΥ Ταμείο,Online,Confirmed,Δυτική Ελλάδα
PAY-2025-000031,2025-01-02,101444444,136,13901.45,ΔΟΥ Ταμείο,Mobile App,Pending,Ήπειρος
PAY-2025-000032,2025-03-21,100777777,152,3304.63,Web Banking,Online,Failed,Πελοπόννησος
PAY-2025-000033,2025-01-30,100222222,300,7177.99,e-ΕΦΚΑ,Branch,Confirmed,Κεντρική Μακεδονία
PAY-2025-000034,2025-04-06,100333333,35,10144.43,Debit Card,Phone,Confirmed,Κρήτη
PAY-2025-000035,2025-10-24,102222222,21,9309.75,ΔΟΥ Ταμείο,Mobile App,Pending,Κρήτη
PAY-2025-000036,2025-06-10,100888888,136,5967.0,Credit Card,Phone,Pending,Κεντρική Μακεδονία
PAY-2025-000037,2025-01-05,101666666,289,14941.64,Web Banking,Branch,Failed,Ιόνια Νησιά
PAY-2025-000038,2025-03-09,101333333,36,13195.09,Credit Card,Mobile App,Confirmed,Ήπειρος
PAY-2025-000039,2025-10-06,101111111,271,166.96,e-ΕΦΚΑ,Mobile App,Failed,Κεντρική Μακεδονία
PAY-2025-000040,2025-03-10,100999999,60,13351.2,e-ΕΦΚΑ,Branch,Pending,Ιόνια Νησιά
PAY-2025-000041,2025-11-06,100777777,176,3093.78,Credit Card,Phone,Pending,Αττική
PAY-2025-000042,2025-02-17,101555555,142,709.1,Credit Card,Branch,Failed,Ιόνια Νησιά
PAY-2025-000043,2025-03-24,101666666,283,10599.73,e-ΕΦΚΑ,Online,Confirmed,Κεντρική Μακεδονία
PAY-2025-000044,2025-03-18,101999999,19,12527.2,e-ΕΦΚΑ,Branch,Pending,Θεσσαλία
PAY-2025-000045,2025-01-22,101111111,187,13489.77,Web Banking,Mobile App,Confirmed,Κρήτη
PAY-2025-000046,2025-02-22,101333333,287,13267.81,ΔΟΥ Ταμείο,Branch,Confirmed,Θεσσαλία
PAY-2025-000047,2025-04-01,101555555,13,2731.44,Credit Card,Phone,Failed,Κρήτη
PAY-2025-000048,2025-05-17,100666666,56,5769.0,Web Banking,Phone,Confirmed,Κρήτη
PAY-2025-000049,2025-08-24,101333333,157,12317.02,Debit Card,Branch,Confirmed,Κρήτη
PAY-2025-000050,2025-07-24,101222222,143,12972.08,Credit Card,Mobile App,Failed,Δυτική Ελλάδα
PAY-2025-000051,2025-10-02,101222222,15,1774.36,Credit Card,Branch,Failed,Ιόνια Νησιά
